속초,90,강원도 고성군 토성면 봉포5길 9 속초고층관측소
북춘천,93,강원도 춘천시 신북읍 장본1길 12 춘천기상대
철원,95,강원도 철원군 갈말읍 명성로179번길 26 철원자동기상관측소
독도,96,경상북도 울릉군 울릉읍 독도이사부길 63
동두천,98,경기도 동두천시 방죽로 16-47 동두천자동기상관측소
파주,99,경기도 파주시 문산읍 마정로 46-29 파주자동기상관측소
대관령,100,강원도 평창군 대관령면 경강로 5372 대관령자동기상관측소
춘천,101,강원도 춘천시 충열로91번길 12 춘천자동기후관측소
백령도,102,인천광역시 옹진군 백령면 두무진로 362-91 백령도고층관측소
북강릉,104,강원도 강릉시 사천면 과학단지로 130 강원지방기상청
강릉,105,강원도 강릉시 임영로131번길 19 강릉자동기후관측소
동해,106,강원도 동해시 중앙로 31 동해자동기상관측소
서울,108,서울특별시 종로구 송월길 52 서울기후관측소
인천,112,인천광역시 중구 자유공원서로 61 인천기상대
원주,114,강원도 원주시 단구로 159 원주자동기상관측소
울릉도,115,경상북도 울릉군 울릉읍 무릉길 227-75 울릉도기후관측소
관악(레),116,경기도 과천시 자하동길
수원,119,경기도 수원시 권선구 서호로 149 수도권기상청
영월,121,강원도 영월군 영월읍 영월로 1894-25 영월자동기상관측소
충주,127,충청북도 충주시 안림로 55 충주자동기상관측소
서산,129,충청남도 서산시 수석1길 124-1 홍성기상대
울진,130,경상북도 울진군 울진읍 현내항길 157 울진자동기상관측소
청주,131,충청북도 청주시 흥덕구 공단로 76 청주기상지청
대전,133,대전광역시 유성구 대학로 383 대전지방기상청
추풍령,135,충청북도 영동군 추풍령면 관리길 25-15 추풍령자동기상관측소
안동,136,경상북도 안동시 열루재1길 16 안동기상대
상주,137,경상북도 상주시 남산2길 322 상주자동기상관측소
포항,138,경상북도 포항시 남구 송도로 70 포항고층기후관측소
군산,140,전라북도 군산시 거척길 3-60 군산자동기상관측소
대구,143,대구광역시 동구 효동로2길 10 대구기상지청
전주,146,전라북도 전주시 덕진구 상가마을길 25 전주기상지청
울산,152,울산광역시 중구 달빛로 65-26 울산기상대
창원,155,경상남도 창원시 마산합포구 가포순환로 172 창원기상대
광주,156,광주광역시 북구 서암대로 71 광주지방기상청
부산,159,부산광역시 중구 복병산길32번길 5-11 부산기상관측소
부산(레),160,부산광역시 서구 구덕산길
통영,162,경상남도 통영시 망일1길 67 통영자동기상관측소
목포,165,전라남도 목포시 고하대로 815 목포기상대
여수,168,전라남도 여수시 고소5길 42 여수기후관측소
흑산도,169,전라남도 신안군 흑산면 예리3길 21-90 흑산도고층관측소
완도,170,전라남도 완도군 군외면 청해진로 795-3 완도자동기상관측소
고창,172,전라북도 고창군 대산면 칠거리로 70 고창자동기상관측소
순천,174,전라남도 순천시 승주읍 평지길 87 순천자동기상관측소
진도(첨찰산),175,전라남도 진도군 의신면 운림산방로 527-209 진도자동기상관측소
제주,184,제주특별자치도 제주시 동문로9길 13-1 제주지방기상청
고산,185,제주특별자치도 제주시 한경면 노을해안로 1013-70 고산자동기상관측소
성산,188,제주특별자치도 서귀포시 성산읍 신산리 1979-2 성산자동기상관측소
서귀포,189,제주특별자치도 서귀포시 태평로439번길 17 서귀포자동기상관측소
진주,192,경상남도 진주시 남강로 43 진주자동기상관측소
강화,201,인천광역시 강화군 불은면 중앙로 628 강화자동기상관측소
양평,202,경기도 양평군 양평읍 시민로20번길 14-1 양평자동기상관측소
이천,203,경기도 이천시 부발읍 대산로546번길 8 이천자동기상관측소
인제,211,강원도 인제군 인제읍 비봉로44번길 93 인제자동기상관측소
홍천,212,강원도 홍천군 홍천읍 연봉동로 27 홍천자동기상관측소
태백,216,강원도 태백시 문예1길 45 태백자동기상관측소
정선군,217,강원도 정선군 정선읍 북실리 773-7 정선군자동기상관측소
제천,221,충청북도 제천시 대학로 123 제천자동기상관측소
보은,226,충청북도 보은군 보은읍 성주길57 보은자동기상관측소
격렬,229,충청남도 태안군 근흥면 가의도리 북격렬비도 산 27
천안,232,충청남도 천안시 동남구 병천면 병천1로 36 천안자동기상관측소
보령,235,충청남도 보령시 대해로 450 보령자동기상관측소
부여,236,충청남도 부여군 부여읍 금성로 63 부여자동기상관측소
금산,238,충청남도 금산군 금산읍 비단로 410-8 금산자동기상관측소
부안,243,전라북도 부안군 행안면 변산로 42 부안자동기상관측소
임실,244,전라북도 임실군 임실읍 운수로 58 임실자동기상관측소
정읍,245,전라북도 정읍시 서부산업도로 168-43 국립전북기상과학관
남원,247,전라북도 남원시 도통동 춘향로 74-32 남원자동기상관측소
장수,248,전라북도 장수군 장수읍 장천로 277 장수자동기상관측소
고창군,251,전라북도 고창군 고창읍 중거리당산로 74-12 고창군자동기상관측소
영광군,252,전라남도 영광군 복호로 7 영광군자동기상관측소
김해시,253,경상남도 김해시 부원동 123-4 김해시자동기상관측소
순창군,254,전라북도 순창군 순창읍 교성리 258 순창군자동기상관측소
북창원,255,경상남도 창원시 성산구 내동 산 27-10 북창원자동기상관측소
양산시,257,경상남도 양산시 동면 강변로 54 양산시자동기상관측소
보성군,258,전라남도 보성군 득량면 예당리 3046-2 보성군자동기상관측소
강진군,259,전라남도 강진군 강진읍 금릉1길 48 강진군자동기상관측소
장흥,260,전라남도 장흥군 장흥읍 흥성로 226 장흥자동기상관측소
해남,261,전라남도 해남군 해남읍 남각길 337 해남자동기상관측소
고흥,262,전라남도 고흥군 고흥읍 두원로 130 고흥자동기상관측소
의령군,263,경상남도 의령군 의합대로 44-54 의령군자동기상관측소
함양군,264,경상남도 함양군 함양읍 용평리 915-202 함양군자동기상관측소
광양시,266,전라남도 광양시 중동 산 109-3 광양시자동기상관측소
진도군,268,전라남도 진도군 진도읍 남동리 291 진도군자동기상관측소
봉화,271,경상북도 봉화군 춘양면 서동길 59 봉화자동기상관측소
영주,272,경상북도 영주시 풍기읍 남원로 178 영주자동기상관측소
문경,273,경상북도 문경시 유곡불정로 223 문경자동기상관측소
청송군,276,경상북도 청송군 청송읍 길안청송로 1591-9 청송군자동기상관측소
영덕,277,경상북도 영덕군 영해면 318만세길 90-19 영덕자동기상관측소
의성,278,경상북도 의성군 의성읍 홍술로 89-14 의성자동기상관측소
구미,279,경상북도 구미시 원남로2길 16 구미자동기상관측소
영천,281,경상북도 영천시 망정3길 35 영천자동기상관측소
경주시,283,경상북도 경주시 서라벌대로 336-20 경주시자동기상관측소
거창,284,경상남도 거창군 거창읍 수남로 2109 거창자동기상관측소
합천,285,경상남도 합천군 합천읍 동서로 164번 합천자동기상관측소
밀양,288,경상남도 밀양시 점필재로 5 밀양자동기상관측소
산청,289,경상남도 산청군 산청읍 꽃봉산로 133번길 3 산청자동기상관측소
거제,294,경상남도 거제시 장평2로 2길 47 거제자동기상관측소
남해,295,경상남도 남해군 이동면 남해대로 2423 남해자동기상관측소
말도,300,전라북도 군산시 옥도면 말도리 말도 산 1 말도표지관리소
임자도,301,전라남도 신안군 임자면 진리길 32-58 파크골프장
장산도,302,전라남도 신안군 장산면 오음리 25-5
가거도,303,전라남도 신안군 흑산면 가거도리 산 95
신지도,304,전라남도 완도군 신지면 월양리 855
여서도,305,전라남도 완도군 청산면 여서리 580 여서도내연발전소
소리도,306,전라남도 여수시 남면 연도리 1619-19
옥도,308,전라남도 신안군 하의면 옥도리 105-2
궁촌,310,강원도 삼척시 근덕면 궁촌리 369-2 삼척해양레일바이크
가야산,311,경상남도 합천군 가야면 치인1길 13-45 해인사관광호텔
주왕산,312,경상북도 청송군 부동면 공원길 169-7 주왕산국립공원사무소
양지암,313,경상남도 거제시 능포동
덕유봉,314,전라북도 무주군 설천면 만선로 185 무주리조트 설천봉정상
성삼재,315,전라남도 구례군 산동면 노고단로 1068 성삼재휴게소
무등산,316,광주광역시 동구 용연동 산 354-4 KBS광주방송총국 무등산송신소
모악산,317,전라북도 완주군 구이면 원기리 716-6
용평,318,강원도 평창군 대관령면 올림픽로 715 용평스키장
천부,319,경상북도 울릉군 북면 천부길 95-3
향로봉,320,강원도 고성군 간성읍
원통,321,강원도 인제군 북면
상서,322,강원도 화천군 상서면
마현,323,강원도 철원군 근남면
송계,324,충청북도 제천시 한수면 탄지리 527-6
백운,325,충청북도 제천시 백운면 구학산로2길 54-19
용문산,326,경기도 양평군 용문면 중원리 464
우암산,327,충청북도 청주시 상당구 명암로 143 국립청주박물관
중문,328,제주특별자치도 서귀포시 중문관광로 72길 60 중문골프장
아라,329,제주특별자치도 제주시 복지로1길 8 KBS 제주방송총국
회수,330,제주특별자치도 서귀포시 1100로 298 회수정수장
강남,400,서울특별시 강남구 봉은사로 63길 22 서울삼릉초등학교
서초,401,서울특별시 서초구 서초동 1416번지 서초 IC
강동,402,서울특별시 강동구 고덕로 183 서울종합직업전문학교
송파,403,서울특별시 송파구 올림픽로 240 롯데월드
강서,404,서울특별시 강서구 우장산로10길 112 한국폴리텍1대학
양천,405,서울특별시 양천구 목동동로 298 목동주차장
도봉,406,서울특별시 도봉구 시루봉로 173 신방학초등학교
노원,407,서울특별시 노원구 화랑로
동대문,408,서울특별시 동대문구 서울시립대로 163 서울시립대학교
중랑,409,서울특별시 중랑구 면목로57길 32 면동초등학교
기상청,410,서울특별시 동작구 여의대방로16길 61 기상청
마포,411,서울특별시 마포구 창전동
서대문,412,서울특별시 서대문구 연세로 50 연세대학교
광진,413,서울특별시 광진구 자양2동
성북,414,서울특별시 성북구 정릉로 77 국민대학교 과학관
용산,415,서울특별시 용산구 이촌로 255 신용산초등학교
은평,416,서울특별시 은평구 연서로
금천,417,서울특별시 금천구 시흥대로104길 31 독산초등학교
한강,418,서울특별시 영등포구 여의동로 280 여의도 세모유람선
중구,419,서울특별시 중구 소파로 83 남산케이블카
성동,421,서울특별시 성동구 서울숲길 18 성수중학교
북악산,422,서울특별시 종로구 북악산로
구로,423,서울특별시 구로구 부일로 893 온수초등학교
강북,424,서울특별시 강북구 도봉로89길 13 강북구청
남현,425,서울특별시 관악구 남현동
세종고운,494,세종특별자치시 고운동 산 25
하개정,495,경기도 안성시 미양면 미양로 72 개정초등학교
세종금남,496,세종특별자치시 금남면 성덕리 77-3
삽당령,497,강원도 강릉시 왕산면 송현리 산 242
구룡령,498,강원도 홍천군 내면 구룡령로 7846
중면,499,경기도 연천군 중면
양도,500,인천광역시 강화군 양도면 도장리 1598-1
대연평,501,인천광역시 옹진군 연평로 200 연평면사무소
교동,502,인천광역시 강화군 교동면 고구리 480-1
도라산,503,경기도 파주시 장단면
포천,504,경기도 포천시 자작동
가평조종,505,경기도 가평군 하면 현리 209 가평하면정수장
금촌,506,경기도 파주시 금촌2동 1017
창수,507,경기도 포천시 창수면
왕산,508,인천광역시 중구 을왕동
관악,509,서울특별시 관악구 관악로 1 서울대학교 대기환경관측소
영등포,510,서울특별시 영등포구 국회대로53길 20 서울영동초등학교
공촌동,511,인천광역시 서구 공촌동
남동공단,512,인천광역시 연수구 동춘동
덕적도,513,인천광역시 옹진군 덕적면 덕적북로 130
대부도,514,경기도 안산시 단원구 대부중앙로 56 대부초등학교
운평,515,경기도 화성시 우정읍 운평리 601-6
안성,516,경기도 안성시 옥산동 365 알미산공원
간성,517,강원도 고성군 간성읍 간성북로 87 고성군 농업기술센터
해안,518,강원도 양구군 해안면 오유리 134
사내,519,강원도 화천군 사내면
설악동,520,강원도 속초시 설악산로 833 설악산관리사무소
강현,521,강원도 양양군 강현면
화촌,522,강원도 홍천군 화촌면
주문진,523,강원도 강릉시 주문진읍 주문리 961 
강문,524,강원도 강릉시 해안로 217 하수중계펌프장
봉평,525,강원도 평창군 봉평면 창동리 421-1
평창,526,강원도 평창군 평창읍 여만길 46 평창군농업기술센터
신동,527,강원도 정선군 신동읍 예미리 774-1
백령면,528,인천광역시 옹진군 백령면 진촌리 1031
원덕,529,강원도 삼척시 원덕읍 산양서원1길 981-4 세계유기농수산연구교육관
태하,530,경상북도 울릉군 서면 태하리 212
가평북면,531,경기도 가평군 북면 소법리 천 627-39
의정부,532,경기도 의정부시 용현동 399-24 용현배수지
신둔,533,경기도 이천시 신둔면 석동로 167 대한장애인체육회 이천훈련원
장호원,534,경기도 이천시 장호원읍 서동대로8759번길 97-103 이천시복숭아연구소
서석,535,강원도 홍천군 서석면 풍암리 526-2
횡성,536,강원도 횡성군 횡성읍 문예로 133
임계,537,강원도 정선군 임계면 봉산리 302-2 정선양묘사업소
신서,538,경기도 연천군 신서면 도신4리 164-1 소득자원연구소
포천이동,539,경기도 포천시 이동면
고양,540,경기도 고양시 덕양구
남양주,541,경기도 남양주시 퇴계원면
청평,542,경기도 가평군 청평면 대성리 393-12
영종도,543,인천광역시 중구 하늘달빛로 133 영종초등학교
전곡항,544,경기도 화성시 서신면
안산,545,경기도 안산시 상록구 해안로 870 농어촌연구원
경기광주,546,경기도 광주시 회안대로 1061-59 한국수자원공사 광주수도관리단
양동,547,경기도 양평군 양동면 쌍학리 865-4 양수장
여주,548,경기도 여주군 여주읍 교리 46-8 여주군 상수도사업소 점봉배수지
용인,549,경기도 용인시 처인구
오산,550,경기도 오산시 외삼미동
평택,551,경기도 평택시 합정동 산 28 평택시 공설운동장
김화,552,강원도 철원군 김화읍
대진,553,강원도 고성군 현내면 한나루로4길 16-38 대진항로표지관리소
미시령,554,강원도 고성군 토성면 미시령옛길 383 미시령휴게소 건너편
화천,555,강원도 화천군 하남면 춘화로 3331번길 45 화천생활체육공원
양구,556,강원도 양구군 양구읍 정림리 160-10
기린,557,강원도 인제군 기린면
팔봉,558,강원도 홍천군 서면 팔봉리 천 1302-63
내면,559,강원도 홍천군 내면 창촌리 1513-2
진부,560,강원도 평창군 진부면 진부중앙로 203-5 한국도로공사 대관령지사
청일,561,강원도 횡성군 청일면 유동로 13 청일공공하수처리장
영월주천,562,강원도 영월군 주천면 주천리 1376-19
북평,563,강원도 정선군 북평면 장열안길 100
시흥,565,경기도 시흥시 동서로 287 시흥시갯골생태공원
연곡,566,강원도 강릉시 연곡면 송림리 191-8 동부지방산림청 연곡양묘장
적성,567,경기도 파주시 적성면
일동,568,경기도 포천시 일동면 기산리 106-1
구리,569,경기도 구리시 서울외곽순환고속도로 26 토평IC
금곡,570,인천광역시 서구 금곡동
화성,571,경기도 화성시 남양동
성남,572,경기도 성남시 중원구 성남대로 997 성남시청
청운,573,경기도 양평군 청운면 용두리 595
대신,574,경기도 여주군 대신면 초현리 520-3
용인이동,575,경기도 용인시 처인구 이동면 어진로 737-10
백암,576,경기도 용인시 처인구 백암면 용천리 산 27
장봉도,577,인천광역시 옹진군 북도면 장봉로 553 장동분교
호도,578,충청남도 보령시 오천면 녹도리 338-5
하장,579,강원도 삼척시 하장면 장전리 266-9
옥계,580,강원도 강릉시 옥계면 현내교동길 99-37 옥계정수장
상동,581,강원도 영월군 상동읍 내덕2리 248-4
신림,582,강원도 원주시 신림면 치악로 28-9
안흥,583,강원도 횡성군 안흥면 덕송로 23
신남,585,강원도 인제군 남면
북산,586,강원도 춘천시 북산면 중추곡길 51
방산,587,강원도 양구군 방산면
남산,588,강원도 춘천시 남산면 방곡리 천 629-41
능곡,589,경기도 고양시 일산동구
과천,590,경기도 과천시 상하벌로 110 국립과천과학관
치악산,591,강원도 원주시 소초면 학곡리 900 치악산국립공원사무소
부론,592,강원도 원주시 부론면 흥호리 936
양양영덕,593,강원도 양양군 서면 영덕리 164-12
서화,594,강원도 인제군 서화면
진부령,595,강원도 고성군 간성읍 흘리길 190 흘리보건소
오색,596,강원도 양양군 서면 오색리 199-1
대화,597,강원도 평창군 대화면 신리 1106-21 서울대학교 그린바이오연구원
양주,598,경기도 양주시 광적면
광릉,599,경기도 포천시 소흘읍 광릉수목원로 415 산림생산기술연구소
금왕,600,충청북도 음성군 금왕읍 용계리 245-4
단양,601,충청북도 단양군 단양읍 중앙1로 20 단양군농업기술센터
진천,602,충청북도 진천군 진천읍 문진로 1433 진천군농업기술센터
괴산,603,충청북도 괴산군 괴산읍 임꺽정로 169 괴산군농업기술센터
옥천,604,충청북도 옥천군 옥천읍 옥천동이로 234 옥천군농업기술센터
영동,605,충청북도 영동군 영동읍 학산영동로 1065 영동군농업기술센터
대산,606,충청남도 서산시 대산읍
근흥,607,충청남도 태안군 근흥면 신진부두길 36 안흥어업무선국
홍북,608,충청남도 홍성군 홍북면
삽시도,609,충청남도 보령시 오천면 삽시도리 138-10
홍성,610,충청남도 홍성군 홍성읍 내포로 230 홍성군농업기술센터
세종연서,611,세종특별자치시 연서면 당산로
공주,612,충청남도 공주시 금흥동
서천,614,충청남도 서천군 마서면 장서로 689 서천군농업기술센터
논산,615,충청남도 논산시 덕지동 43-29
당진,616,충청남도 당진군 당진읍
성거,617,충청남도 천안시 서북구 성거읍 봉주로 75 천안시 서북구청
청양,618,충청남도 청양군 청양읍 구봉로 1026-84 청양군농업기술센터
음성,619,충청북도 음성군 음성읍 평곡리 520-1
엄정,620,충청북도 충주시 엄정면 율능리 1334
수산,621,충청북도 제천시 수산면 옥순봉로 933
수안보,622,충청북도 충주시 수안보면 안보리 419-1 수안보생활체육공원
증평,623,충청북도 증평군 증평읍
상당,624,충청북도 청원군 미원면 성대1길 213 미원하수종말처리장
속리산,625,충청북도 보은군 속리산면 법주사로 84 속리산국립공원
옥천청산,626,충청북도 옥천군 청산면 청산관기로 507 황토집교육원
태안,627,충청남도 태안군 태안읍 백화로 49 태안초등학교
예산,628,충청남도 예산군 신암면 오신로 852 예산군농업기술센터
세종전의,629,세종특별자치시 전의면 읍내황골1길 63
노은,630,충청북도 충주시 노은면 신효리 193
송도,631,인천광역시 연수구 인천신항대로892번길 40 송도종합스포츠센터
유구,632,충청남도 공주시 유구읍 만천리 500
정안,633,충청남도 공주시 정안면 평정리 284-5
아산,634,충청남도 아산시 인주면 대음리 200 현대자동차㈜ 아산공장
